iau_name ,alt_name        ,ra        ,dec      ,class         
0903+1658,3C 215.0        ,09 06 31.8,+16 46 12,QSO RADIO LOUD
0852+1702,C078            ,08 55 03.6,+16 51 07,QSO RADIO LOUD
0008+1707,PKS 0008+171    ,00 10 33.9,+17 24 19,QSO RADIO LOUD
1433+1742,MC 1433+177     ,14 35 56.5,+17 29 35,QSO RADIO LOUD
1750+1734,TEX 1750+175    ,17 52 46.0,+17 34 21,QSO RADIO LOUD
1618+1743,3C 334.0        ,16 20 21.7,+17 36 23,QSO RADIO LOUD
2141+1730,OX 169          ,21 43 35.4,+17 43 49,QSO RADIO LOUD
1603+1755,1603.8+1756     ,16 06 01.2,+17 47 41,QSO RADIO LOUD
0136+1737,PKS 0136+176    ,01 39 41.9,+17 53 07,QSO RADIO LOUD
1606+1804,4C 18.47        ,16 09 11.3,+17 56 15,QSO RADIO LOUD
0630+1801,Q 0630+180      ,06 33 38.8,+17 59 33,QSO RADIO LOUD
1119+1821,H 1119+18       ,11 22 29.7,+18 05 26,QSO RADIO LOUD
1221+1837,4C 18.34        ,12 23 46.1,+18 21 07,QSO RADIO LOUD
1739+1829,4C +18.51       ,17 42 06.8,+18 27 17,QSO RADIO LOUD
1633+1837,TEX 1633+186    ,16 35 39.0,+18 31 09,QSO RADIO LOUD
0839+1846,DW 0839+18      ,08 42 05.0,+18 35 42,QSO RADIO LOUD
0033+1821,3C 14.0         ,00 36 06.4,+18 37 58,QSO RADIO LOUD
1245+1854,H 1245+18       ,12 48 06.9,+18 38 12,QSO RADIO LOUD
0854+1907,LB 8956         ,08 57 26.7,+18 55 24,QSO RADIO LOUD
2305+1845,PKS 2305+18     ,23 07 45.5,+19 01 21,QSO RADIO LOUD
1022+1927,4C 19.34        ,10 24 44.7,+19 12 20,QSO RADIO LOUD
1354+1933,PKS 1354+19     ,13 57 04.4,+19 19 06,QSO RADIO LOUD
0836+1932,4C 19.31        ,08 39 06.9,+19 21 49,QSO RADIO LOUD
0903+1953,[HB89] 0903+198 ,09 06 05.1,+19 41 54,QSO RADIO LOUD
1552+1956,PKS 1552+199    ,15 54 39.0,+19 47 18,QSO RADIO LOUD
1055+2007,PKS 1055+20     ,10 58 17.9,+19 51 51,QSO RADIO LOUD
2356+1938,PKS 2356+196    ,23 58 46.0,+19 55 21,QSO RADIO LOUD
1422+2013,PKS 1422+20     ,14 24 56.8,+20 00 26,QSO RADIO LOUD
0109+2004,TEX 0109+200    ,01 12 10.1,+20 20 19,QSO RADIO LOUD
2116+2021,TEX 2116+203    ,21 18 34.7,+20 34 02,QSO RADIO LOUD
1545+2101,3C 323.1        ,15 47 43.5,+20 52 16,QSO RADIO LOUD
0133+2042,3C  47.0        ,01 36 24.4,+20 57 26,QSO RADIO LOUD
0145+2100,TEX 0145+210    ,01 47 53.7,+21 15 51,QSO RADIO LOUD
2223+2102,PKS 2223+21     ,22 25 38.0,+21 18 06,QSO RADIO LOUD
1049+2135,PKS 1049+21     ,10 51 48.8,+21 19 52,QSO RADIO LOUD
1222+2139,PKS 1222+21     ,12 24 54.6,+21 22 47,QSO RADIO LOUD
1222+2237,KP 1222.7+22.6  ,12 25 18.0,+22 20 28,QSO RADIO LOUD
1001+2239,PKS 1001+22     ,10 04 45.7,+22 25 19,QSO RADIO LOUD
0957+2247,4C 22.25        ,10 00 21.7,+22 33 19,QSO RADIO LOUD
1422+2309,B 1422+231      ,14 24 38.0,+22 56 00,QSO RADIO LOUD
1012+2316,PKS 1011+23     ,10 14 47.0,+23 01 17,QSO RADIO LOUD
0740+2335,PKS 0740+23     ,07 43 44.9,+23 28 39,QSO RADIO LOUD
0745+2407,PKS 0745+241    ,07 48 36.1,+24 00 24,QSO RADIO LOUD
1423+2417,PKS 1423+24     ,14 25 50.7,+24 04 03,QSO RADIO LOUD
0827+2421,B2 0827+24      ,08 30 52.0,+24 11 00,QSO RADIO LOUD
0130+2412,PKS 0130+24     ,01 33 24.5,+24 27 40,QSO RADIO LOUD
1435+2452,4C 24.32        ,14 37 49.1,+24 39 12,QSO RADIO LOUD
2251+2429,PKS 2251+24     ,22 54 09.2,+24 45 22,QSO RADIO LOUD
1011+2504,B2 1011+25      ,10 13 53.3,+24 49 16,QSO RADIO LOUD
0834+2504,B2 0834+25      ,08 37 40.2,+24 54 23,QSO RADIO LOUD
1223+2515,B2 1223+25      ,12 25 39.5,+24 58 36,QSO RADIO LOUD
1328+2524,3C 287.0        ,13 30 37.6,+25 09 11,QSO RADIO LOUD
0953+2529,OK 290          ,09 56 49.9,+25 15 15,QSO RADIO LOUD
1215+2546,3C 269          ,12 17 56.8,+25 29 28,QSO RADIO LOUD
1326+2546,MS 13266+2546   ,13 29 03.0,+25 31 25,QSO RADIO LOUD
1354+2552,PKS 1354+25     ,13 57 06.5,+25 37 25,QSO RADIO LOUD
0123+2543,PKS 0123+25     ,01 26 42.8,+25 59 01,QSO RADIO LOUD
0017+2546,4C 25.01        ,00 19 39.7,+26 02 52,QSO RADIO LOUD
0610+2605,3C 154.0        ,06 13 50.1,+26 04 36,QSO RADIO LOUD
1351+2646,B2 1351+26      ,13 53 35.9,+26 31 48,QSO RADIO LOUD
1425+2645,B2 1425+26      ,14 27 35.6,+26 32 14,QSO RADIO LOUD
1234+2651,B2 1234+26      ,12 36 31.2,+26 35 09,QSO RADIO LOUD
1634+2654,3C 342          ,16 36 36.3,+26 48 09,QSO RADIO LOUD
1623+2657,PKS 1623+26     ,16 25 14.1,+26 50 26,QSO RADIO LOUD
0822+2714,0822+27W1       ,08 25 47.3,+27 04 21,QSO RADIO LOUD
1623+2712,B2 1623+27A     ,16 25 31.5,+27 05 33,QSO RADIO LOUD
1306+2724,B2 1306+27A     ,13 08 56.8,+27 08 11,QSO RADIO LOUD
1339+2724,RRS IV  4       ,13 42 08.5,+27 09 29,QSO RADIO LOUD
1333+2743,1333.7+2743     ,13 36 02.7,+27 27 47,QSO RADIO LOUD
1015+2747,3C 240          ,10 17 49.3,+27 32 05,QSO RADIO LOUD
1011+2803,B2 1011+28      ,10 14 35.7,+27 49 03,QSO RADIO LOUD
1741+2754,B2 1741+27      ,17 43 56.3,+27 52 50,QSO RADIO LOUD
1204+2811,B2 1204+28      ,12 07 27.7,+27 55 00,QSO RADIO LOUD
1130+2828,US 2599         ,11 33 14.7,+28 12 02,QSO RADIO LOUD
1830+2831,B2 1830+28A     ,18 32 50.0,+28 33 36,QSO RADIO LOUD
2353+2819,B2 2353+28      ,23 55 54.1,+28 35 58,QSO RADIO LOUD
1340+2859,B2 1340+29      ,13 43 00.2,+28 44 07,QSO RADIO LOUD
0234+2835,B2 0234+28      ,02 37 52.3,+28 48 10,QSO RADIO LOUD
1156+2931,4C 29.45        ,11 59 31.8,+29 14 45,QSO RADIO LOUD
2325+2920,4C 29.68        ,23 28 10.6,+29 37 10,QSO RADIO LOUD
1702+2951,B2 1702+29      ,17 04 07.1,+29 47 00,QSO RADIO LOUD
1452+3008,B2 1452+30      ,14 54 32.2,+29 55 58,QSO RADIO LOUD
0110+2942,B2 0110+29      ,01 13 24.1,+29 58 16,QSO RADIO LOUD
1132+3022,3C 261          ,11 34 54.5,+30 05 26,QSO RADIO LOUD
1100+3031,CSO  66         ,11 03 13.5,+30 14 56,QSO RADIO LOUD
1328+3045,3C 286.0        ,13 31 08.2,+30 30 32,QSO RADIO LOUD
1028+3118,B2 1028+31      ,10 30 59.0,+31 02 56,QSO RADIO LOUD
0906+3118,B2 0906+31      ,09 09 53.2,+31 06 03,QSO RADIO LOUD
0738+3119,OI 363          ,07 41 10.7,+31 11 59,QSO RADIO LOUD
1128+3130,B2 1128+31      ,11 31 09.3,+31 14 07,QSO RADIO LOUD
1225+3145,B2 1225+31      ,12 28 24.7,+31 28 38,QSO RADIO LOUD
0742+3150,B2 0742+31      ,07 45 41.6,+31 42 56,QSO RADIO LOUD
2201+3131,B2 2201+31A     ,22 03 14.8,+31 45 38,QSO RADIO LOUD
0844+3159,[HB89] 0844+319 ,08 47 56.4,+31 47 58,QSO RADIO LOUD
1145+3210,US 2978         ,11 48 18.8,+31 54 10,QSO RADIO LOUD
0154+3139,B2 0154+31A     ,01 57 15.2,+31 54 19,QSO RADIO LOUD
1208+3213,B2 1208+32A     ,12 10 37.6,+31 57 07,QSO RADIO LOUD
0121+3151,MARK  992       ,01 24 48.1,+32 07 20,QSO RADIO LOUD
1244+3225,B2 1244+32B     ,12 47 20.6,+32 09 01,QSO RADIO LOUD
0333+3208,NRAO 140        ,03 36 29.9,+32 18 29,QSO RADIO LOUD
1308+3236,B2 1308+32      ,13 10 28.6,+32 20 43,QSO RADIO LOUD
1615+3229,3C 332.0        ,16 17 42.6,+32 22 34,QSO RADIO LOUD
1420+3236,B2 1420+32      ,14 22 30.2,+32 23 10,QSO RADIO LOUD
0955+3238,3C 232          ,09 58 21.0,+32 24 02,QSO RADIO LOUD
0810+3246,B2 0810+32      ,08 14 09.2,+32 37 31,QSO RADIO LOUD
2349+3247,4C 32.69        ,23 52 20.9,+33 03 59,QSO RADIO LOUD
1555+3313,B2 1555+33      ,15 57 29.9,+33 04 46,QSO RADIO LOUD
1215+3322,B2 1215+33      ,12 17 32.6,+33 05 39,QSO RADIO LOUD
0134+3254,3C  48.0        ,01 37 41.2,+33 09 35,QSO RADIO LOUD
1211+3326,B2 1211+33      ,12 14 04.0,+33 09 46,QSO RADIO LOUD
0742+3320,GC 0742+33      ,07 45 59.3,+33 13 34,QSO RADIO LOUD
1556+3331,GC 1556+33      ,15 58 55.1,+33 23 18,QSO RADIO LOUD
1218+3359,3C 270.1        ,12 20 33.8,+33 43 12,QSO RADIO LOUD
0149+3335,B2 0149+33      ,01 52 34.5,+33 50 33,QSO RADIO LOUD
0750+3358,[HB89] 0750+339 ,07 53 28.3,+33 50 51,QSO RADIO LOUD
1611+3420,DA 406          ,16 13 41.0,+34 12 48,QSO RADIO LOUD
1721+3420,B2 1721+34      ,17 23 20.7,+34 17 59,QSO RADIO LOUD
1257+3439,B 201           ,12 59 48.9,+34 23 22,QSO RADIO LOUD
1315+3441,B2 1315+34A     ,13 17 36.4,+34 25 15,QSO RADIO LOUD
1656+3448,B2 1656+34      ,16 58 01.4,+34 43 28,QSO RADIO LOUD
1237+3519,B2 1237+35      ,12 40 21.1,+35 02 59,QSO RADIO LOUD
1546+3520,B2 1546+35A     ,15 48 17.9,+35 11 29,QSO RADIO LOUD
1309+3531,PG 1309+355     ,13 12 17.7,+35 15 21,QSO RADIO LOUD
1657+3524,MS 16571+3524   ,16 58 55.8,+35 20 05,QSO RADIO LOUD
0109+3506,B2 0109+35      ,01 12 12.8,+35 22 21,QSO RADIO LOUD
1256+3544,B 194           ,12 58 29.7,+35 28 41,QSO RADIO LOUD
0711+3539,OI 318          ,07 14 24.8,+35 34 39,QSO RADIO LOUD
1719+3545,B2 1719+35      ,17 21 09.5,+35 42 16,QSO RADIO LOUD
1015+3557,B2 1015+35B     ,10 18 10.9,+35 42 39,QSO RADIO LOUD
1104+3632,B2 1104+36      ,11 07 26.8,+36 16 12,QSO RADIO LOUD
1512+3701,B2 1512+37      ,15 14 42.9,+36 50 50,QSO RADIO LOUD
0709+3701,B2 0709+37      ,07 13 09.4,+36 56 07,QSO RADIO LOUD
1220+3723,B2 1220+37      ,12 23 11.1,+37 07 02,QSO RADIO LOUD
1015+3820,B2 1015+38      ,10 18 24.6,+38 05 14,QSO RADIO LOUD
1633+3814,B2 1633+38      ,16 35 15.4,+38 08 03,QSO RADIO LOUD
1128+3831,S4 1128+38      ,11 30 53.3,+38 15 20,QSO RADIO LOUD
0003+3804,S4 0003+38      ,00 05 57.1,+38 20 45,QSO RADIO LOUD
0704+3826,B2 0704+38      ,07 07 32.9,+38 22 13,QSO RADIO LOUD
1343+3838,B2 1343+38      ,13 45 36.8,+38 23 12,QSO RADIO LOUD
1727+3840,[HB89] 1727+386 ,17 28 59.4,+38 38 23,QSO RADIO LOUD
1758+3848,S4 1758+38      ,18 00 24.7,+38 48 30,QSO RADIO LOUD
0937+3907,B2 0937+39      ,09 41 04.0,+38 53 50,QSO RADIO LOUD
0913+3907,B2 0913+39      ,09 16 48.8,+38 54 27,QSO RADIO LOUD
1732+3859,S4 1732+389     ,17 34 20.6,+38 57 51,QSO RADIO LOUD
0923+3915,B2 0923+39      ,09 27 02.9,+39 02 21,QSO RADIO LOUD
0729+3911,B3 0729+391     ,07 33 20.8,+39 05 05,QSO RADIO LOUD
1621+3916,B3 1621+392     ,16 23 07.6,+39 09 32,QSO RADIO LOUD
0821+3926,B2 0821+39      ,08 24 55.4,+39 16 42,QSO RADIO LOUD
0331+3911,4C 39.12        ,03 34 17.2,+39 21 25,QSO RADIO LOUD
1631+3930,KUV 16313+3931  ,16 33 02.1,+39 24 27,QSO RADIO LOUD
1315+3941,4C 39.38        ,13 17 18.6,+39 25 28,QSO RADIO LOUD
1019+3947,B3 1019+397     ,10 22 37.4,+39 31 51,QSO RADIO LOUD
1640+3940,MS 16400+3940   ,16 41 47.6,+39 35 03,QSO RADIO LOUD
1207+3953,1207+39W3       ,12 09 43.2,+39 36 42,QSO RADIO LOUD
0034+3921,5C 03.44        ,00 37 36.7,+39 38 10,QSO RADIO LOUD
1638+3952,NRAO 512        ,16 40 29.6,+39 46 46,QSO RADIO LOUD
1020+4003,B2 1020+40      ,10 23 11.5,+39 48 16,QSO RADIO LOUD
1641+3954,3C 345.0        ,16 42 58.7,+39 48 37,QSO RADIO LOUD
2218+3933,4C 39.66        ,22 20 31.4,+39 48 47,QSO RADIO LOUD
0552+3948,B2 0552+39A     ,05 55 30.7,+39 48 49,QSO RADIO LOUD
1724+3959,B2 1724+39      ,17 26 32.6,+39 57 02,QSO RADIO LOUD
1640+4006,E 1640+401      ,16 41 54.1,+40 00 33,QSO RADIO LOUD
2233+3954,B2 2233+39      ,22 35 17.4,+40 10 08,QSO RADIO LOUD
1229+4034,B3 1229+405     ,12 31 39.9,+40 17 30,QSO RADIO LOUD
1111+4053,3C 254.0        ,11 14 38.5,+40 37 20,QSO RADIO LOUD
0945+4053,4C 40.24        ,09 48 55.2,+40 39 44,QSO RADIO LOUD
1839+4039,4C 40.38        ,18 40 44.9,+40 42 37,QSO RADIO LOUD
0010+4034,4C 40.01        ,00 13 31.0,+40 51 37,QSO RADIO LOUD
0805+4101,B3 0805+410     ,08 08 56.6,+40 52 45,QSO RADIO LOUD
0910+4108,IRAS 09104+4109 ,09 13 45.5,+40 56 27,QSO RADIO LOUD
0232+4110,4C 41.04        ,02 35 56.1,+41 23 16,QSO RADIO LOUD
1007+4147,4C 41.21        ,10 10 27.5,+41 32 37,QSO RADIO LOUD
0035+4120,S4 0035+41      ,00 38 24.8,+41 37 06,QSO RADIO LOUD
1313+4217,NGC 5055 UB1    ,13 15 49.3,+42 01 59,QSO RADIO LOUD
0906+4305,3C 216.0        ,09 09 33.5,+42 53 45,QSO RADIO LOUD
1629+4355,4C 43.39        ,16 31 12.9,+43 48 41,QSO RADIO LOUD
0952+4411,US 1101         ,09 55 28.4,+43 57 35,QSO RADIO LOUD
1800+4404,OU 401          ,18 01 32.3,+44 04 20,QSO RADIO LOUD
1751+4410,S4 1751+44      ,17 53 22.5,+44 09 46,QSO RADIO LOUD
0821+4446,4C 44.17        ,08 25 17.5,+44 36 27,QSO RADIO LOUD
0917+4454,S4 0917+44      ,09 20 58.4,+44 41 53,QSO RADIO LOUD
1247+4501,4C 45.26        ,12 49 23.4,+44 44 49,QSO RADIO LOUD
0642+4454,OH 471          ,06 46 31.9,+44 51 17,QSO RADIO LOUD
0846+4511,65W 208         ,08 49 43.6,+45 00 23,QSO RADIO LOUD
1124+4532,RX J11269+4516  ,11 26 57.6,+45 16 06,QSO RADIO LOUD
0952+4546,US 1107         ,09 55 39.8,+45 32 16,QSO RADIO LOUD
1705+4540,4C 45.34        ,17 07 17.5,+45 36 10,QSO RADIO LOUD
1806+4541,S4 1806+45      ,18 08 21.8,+45 42 20,QSO RADIO LOUD
1415+4620,4C 46.29        ,14 17 08.1,+46 07 05,QSO RADIO LOUD
0859+4702,4C 47.29        ,09 03 03.9,+46 51 04,QSO RADIO LOUD
2311+4655,4C 46.47        ,23 13 48.1,+47 12 16,QSO RADIO LOUD
1636+4723,4C 47.44        ,16 37 45.1,+47 17 34,QSO RADIO LOUD
0955+4739,OK 492          ,09 58 19.7,+47 25 08,QSO RADIO LOUD
1148+4745,4C 47.33        ,11 51 09.2,+47 28 55,QSO RADIO LOUD
1538+4745,PG 1538+477     ,15 39 34.7,+47 35 31,QSO RADIO LOUD
1656+4742,S4 1656+47      ,16 58 02.7,+47 37 48,QSO RADIO LOUD
0731+4756,S4 0731+47      ,07 35 02.2,+47 50 08,QSO RADIO LOUD
0133+4736,DA 55           ,01 36 58.5,+47 51 29,QSO RADIO LOUD
1231+4810,GB 1231+482     ,12 34 13.3,+47 53 52,QSO RADIO LOUD
1718+4807,PG 1718+481     ,17 19 38.0,+48 04 13,QSO RADIO LOUD
0809+4822,3C 196.0        ,08 13 36.0,+48 13 03,QSO RADIO LOUD
0808+4840,MS 08080+4840   ,08 11 38.5,+48 31 30,QSO RADIO LOUD
1828+4842,3C 380.0        ,18 29 31.7,+48 44 46,QSO RADIO LOUD
1202+4913,GB 1202+492     ,12 04 36.2,+48 56 55,QSO RADIO LOUD
2332+4858,OZ 453.7        ,23 34 42.8,+49 15 12,QSO RADIO LOUD
2355+4905,4C 49.48        ,23 58 09.7,+49 21 44,QSO RADIO LOUD
1150+4947,LB 2136         ,11 53 24.4,+49 31 09,QSO RADIO LOUD
1055+4955,5C 02.56        ,10 58 12.9,+49 39 35,QSO RADIO LOUD
0110+4932,S4 0110+49      ,01 13 26.9,+49 48 23,QSO RADIO LOUD
0804+4959,OJ 508          ,08 08 39.5,+49 50 36,QSO RADIO LOUD
0538+4949,3C 147.0        ,05 42 36.1,+49 51 07,QSO RADIO LOUD
1738+4956,OT 463          ,17 39 27.3,+49 55 04,QSO RADIO LOUD
1720+4958,53W 080         ,17 21 37.5,+49 55 37,QSO RADIO LOUD
1951+4950,TEX 1951+498    ,19 52 35.6,+49 58 14,QSO RADIO LOUD
1729+5009,4C 50.43        ,17 31 03.6,+50 07 35,QSO RADIO LOUD
1713+5024,53W 009         ,17 15 03.5,+50 21 31,QSO RADIO LOUD
1547+5047,S4 1547+50      ,15 49 17.4,+50 38 05,QSO RADIO LOUD
1924+5046,4C 50.47        ,19 26 06.2,+50 52 57,QSO RADIO LOUD
0846+5119,0846+51W1       ,08 49 58.0,+51 08 29,QSO RADIO LOUD
1954+5123,OV 591          ,19 55 42.7,+51 31 49,QSO RADIO LOUD
1317+5203,4C 52.27        ,13 19 46.2,+51 48 06,QSO RADIO LOUD
1739+5213,OT 566          ,17 40 36.9,+52 11 43,QSO RADIO LOUD
1038+5249,OL 564          ,10 41 46.7,+52 33 28,QSO RADIO LOUD
0537+5310,S4 0537+53      ,05 41 16.1,+53 12 25,QSO RADIO LOUD
1347+5356,4C 53.28        ,13 49 34.7,+53 41 16,QSO RADIO LOUD
1050+5417,S4 1050+54      ,10 53 56.9,+54 01 51,QSO RADIO LOUD
0906+5439,4C 54.18        ,09 10 11.1,+54 27 22,QSO RADIO LOUD
0954+5537,4C 55.17        ,09 57 38.1,+55 22 58,QSO RADIO LOUD
0820+5602,OJ 535          ,08 24 47.2,+55 52 43,QSO RADIO LOUD
0957+5608,0957+561A       ,10 01 20.8,+55 53 54,QSO RADIO LOUD
1250+5650,3C 277.1        ,12 52 26.3,+56 34 19,QSO RADIO LOUD
1656+5710,4C 57.28        ,16 57 20.6,+57 05 53,QSO RADIO LOUD
0039+5652,OB 565          ,00 42 19.3,+57 08 36,QSO RADIO LOUD
1637+5726,OS 562          ,16 38 13.2,+57 20 24,QSO RADIO LOUD
1602+5739,4C 57.27        ,16 03 55.7,+57 30 54,QSO RADIO LOUD
1658+5735,4C 57.29        ,16 59 45.6,+57 31 30,QSO RADIO LOUD
1356+5806,4C 58.29        ,13 58 17.5,+57 52 05,QSO RADIO LOUD
0850+5808,4C 58.17        ,08 54 42.0,+57 57 29,QSO RADIO LOUD
0833+5835,S4 0833+58      ,08 37 22.3,+58 25 01,QSO RADIO LOUD
0800+6048,OJ 601          ,08 04 25.1,+60 40 07,QSO RADIO LOUD
1704+6048,3C 351.0        ,17 04 41.4,+60 44 28,QSO RADIO LOUD
1049+6141,4C 61.20        ,10 52 32.7,+61 25 21,QSO RADIO LOUD
0839+6140,4C 61.19        ,08 43 12.4,+61 29 43,QSO RADIO LOUD
1742+6147,4C 61.34        ,17 42 51.6,+61 45 51,QSO RADIO LOUD
0821+6207,4CP 62.12       ,08 25 38.5,+61 57 29,QSO RADIO LOUD
0917+6228,S4 0917+62      ,09 21 36.2,+62 15 52,QSO RADIO LOUD
1745+6227,4C 62.29        ,17 46 14.1,+62 26 55,QSO RADIO LOUD
0241+6215,4U 0241+61      ,02 44 57.6,+62 28 06,QSO RADIO LOUD
1156+6311,4C 63.15        ,11 58 39.8,+62 54 27,QSO RADIO LOUD
1442+6345,MS 14428+6344   ,14 43 58.6,+63 32 26,QSO RADIO LOUD
1435+6349,S4 1435+63      ,14 36 45.7,+63 36 38,QSO RADIO LOUD
0731+6519,0731+65W1       ,07 36 21.0,+65 13 11,QSO RADIO LOUD
0833+6524,3C 204.0        ,08 37 44.9,+65 13 35,QSO RADIO LOUD
1323+6530,4C 65.15        ,13 25 29.6,+65 15 13,QSO RADIO LOUD
1732+6535,4C 65.21        ,17 32 53.9,+65 33 25,QSO RADIO LOUD
1138+6553,MS 11386+6553   ,11 41 26.2,+65 37 02,QSO RADIO LOUD
1152+6555,4C 65.13        ,11 55 17.8,+65 39 16,QSO RADIO LOUD
1753+6542,EF B1753+6543   ,17 53 44.5,+65 42 07,QSO RADIO LOUD
1137+6604,3C 263.0        ,11 39 57.0,+65 47 50,QSO RADIO LOUD
1849+6702,4C 66.20        ,18 49 15.9,+67 05 41,QSO RADIO LOUD
1826+6704,8C 1826+670     ,18 26 37.3,+67 06 44,QSO RADIO LOUD
0636+6801,S4 0636+68      ,06 42 04.0,+67 58 36,QSO RADIO LOUD
1842+6806,S4 1842+68      ,18 42 33.5,+68 09 24,QSO RADIO LOUD
0959+6827,0959+68W1       ,10 03 06.5,+68 13 17,QSO RADIO LOUD
1716+6839,S4 1716+68      ,17 16 13.9,+68 36 38,QSO RADIO LOUD
1503+6907,4C 69.18        ,15 04 13.2,+68 56 10,QSO RADIO LOUD
1642+6902,4C +69.21       ,16 42 19.8,+68 56 20,QSO RADIO LOUD
0958+6913,MS 09584+6913   ,10 02 26.3,+68 58 32,QSO RADIO LOUD
0836+7104,S5 0836+71      ,08 41 24.4,+70 53 42,QSO RADIO LOUD
1007+7139,S5 1007+71      ,10 11 32.6,+71 24 41,QSO RADIO LOUD
1458+7152,3C 309.1        ,14 59 07.5,+71 40 19,QSO RADIO LOUD
1520+7235,S5 1520+72      ,15 20 47.5,+72 25 06,QSO RADIO LOUD
1058+7241,4C 72.16        ,11 01 48.7,+72 25 37,QSO RADIO LOUD
1104+7248,1104+72W1       ,11 07 41.8,+72 32 36,QSO RADIO LOUD
1345+7335,S5 1345+73      ,13 46 08.4,+73 20 54,QSO RADIO LOUD
0016+7310,S5 0016+73      ,00 19 45.5,+73 27 30,QSO RADIO LOUD
0212+7335,S5 0212+73      ,02 17 30.8,+73 49 34,QSO RADIO LOUD
1856+7347,S5 1956+73      ,18 54 57.2,+73 51 19,QSO RADIO LOUD
1928+7351,4C 73.18        ,19 27 48.4,+73 58 02,QSO RADIO LOUD
0743+7428,S5 0743+74      ,07 49 22.7,+74 20 42,QSO RADIO LOUD
2017+4731,4C 74.25        ,20 17 08.1,+74 40 53,QSO RADIO LOUD
0153+7428,S5 0153+74      ,01 57 34.8,+74 42 44,QSO RADIO LOUD
2043+7457,4C 74.26        ,20 42 37.2,+75 08 02,QSO RADIO LOUD
1221+7553,1221+75W1       ,12 23 29.3,+75 36 29,QSO RADIO LOUD
1726+7655,S5 1726+76      ,17 23 59.3,+76 53 12,QSO RADIO LOUD
1100+7715,3C 249.1        ,11 04 13.8,+76 58 58,QSO RADIO LOUD
0010+7732,S5 0010+77      ,00 13 11.5,+77 48 47,QSO RADIO LOUD
0438+7833,S5 0437+78      ,04 45 46.4,+78 38 57,QSO RADIO LOUD
2111+8008,S5 2111+80      ,21 09 18.9,+80 21 11,QSO RADIO LOUD
1039+8110,S5 1039+81      ,10 44 23.1,+80 54 39,QSO RADIO LOUD
1150+8115,S5 1150+81      ,11 53 12.7,+80 58 30,QSO RADIO LOUD
0014+8118,S5 0014+81      ,00 17 08.0,+81 35 08,QSO RADIO LOUD
0615+8203,S5 0615+82      ,06 26 03.0,+82 02 25,QSO RADIO LOUD
